siteid,Biofilm_B_Glucosidase_Activity_(umoles_hr_1_mL_1_cm_2),Biofilm_Phospahtase_Activity_(umoles_hr_1_mL_1_cm_2),Biofilm_N_Acetylglucosaminidase_Activity_(umoles_hr_1_mL_1_cm_2),Water_B_Glucosidase_Activity_(umoles_hr_1_mL_1),Water_Phospahtase_Activity_(umoles_hr_1_mL_1),Water_N_Acetylglucosaminidase_Activity_(umoles_hr_1_mL_1),Leaf_Litter_B_Glucosidase_Activity_(umolperhperg_DW),Leaf_Litter_B_Glucosidase_Activity_(umolperhperg_OM),Leaf_Litter_Phosphatase_Activity_(umolperhperg_DW),Leaf_Litter_Phosphatase_Activity_(umolperhperg_OM),Leaf_Litter_N_Acetylglucosaminidase_Activity_(umolperhperg_DW),Leaf_Litter_N_Acetylglucosaminidase_Activity_(umolperhperg_OM),Leaf_Litter_Phenol_Oxidase_Activity_(umolperhperg_DW),Leaf_Litter_Phenol_Oxidase_Activity_(umolperhperg_OM),Leaf_Litter_Peroxidase_Activity_(umolperhperg_DW),Leaf_Litter_Peroxidase_Activity_(umolperhperg_OM),Sediment_B_Glucosidase_Activity_(umolperhperg_DW),Sediment_B_Glucosidase_Activity_(umolperhperg_OM),Sediment_Phosphatase_Activity_(umolperhperg_DW),Sediment_Phosphatase_Activity_(umolperhperg_OM),Sediment_N_Acetylglucosaminidase_Activity_(umolperhperg_DW),Sediment_N_Acetylglucosaminidase_Activity_(umolperhperg_OM),Sediment_Phenol_Oxidase_Activity_(umolperhperg_DW),Sediment_Phenol_Activity_(umolperhperg_OM),Sediment_Peroxidase_Activity_(umolperhperg_DW),Sediment_Peroxidase_Activity_(umolperhperg_OM)
20M04,0.004175948,0.045928166,0.029385701,0.009843831,0.089515241,0.056173431,40.64477094,40.64477094,8.420463815,8.420463815,4.147765559,4.147765559,9.553488042,9.553488042,11.49657036,11.49657036,0.05935709,0.949713436,0.362109654,5.793754456,0.010677995,0.17084792,0.483368393,7.733894293,0,0
20M05,0,0.0761339,0.002959642,0.032051282,0,0,38.48702876,41.98584956,20.89052027,22.78965847,5.313656299,5.796715963,9.207800901,10.04487371,5.66846602,6.183781113,0.111438637,1.568713123,0.427345806,6.015714042,0.014902315,0.209778746,0.406886519,5.727710229,0.134065935,0
SFM01,0.004675786,0.034094323,0.007750281,0.026075619,0.029438994,0.031395124,15.65870192,20.00834134,13.8385945,17.68264853,4.857471862,6.206769602,7.077047489,9.042894014,2.284126438,2.918606005,0.089226665,2.389291812,0.21358791,5.719409578,0.012048549,0.322633361,0.425070688,11.38244843,0.052926397,7.544936464
SFM02,0.003302523,0.039296406,0.015069419,0.061536947,0.172324931,0.041121332,8.591555199,10.30986624,6.219343809,7.463212571,1.925435565,2.310522678,4.797232754,5.756679305,8.994811414,10.7937737,0.08070973,1.527276421,0.292235229,5.529989719,0.016702013,0.316053485,0.441370506,8.352088045,0.02388328,3.513005406
SFM03,0.001093643,0.014330094,0.005937318,0,0,0.015389578,17.82360965,25.3282874,12.10149636,17.19686325,5.622694338,7.990144585,4.617322901,6.561458859,1.574900834,2.238016975,0.062192459,0.792953857,0.184748188,2.355539398,0.006198922,0.07903625,0.523548931,6.675248871,0.060799528,0
SFM04,0.04785771,0.099845851,0.006135343,0,0,0.019061069,6.018141178,7.638409956,3.51318086,4.459037246,3.150544835,3.998768444,2.660631589,3.376955478,1.908469916,2.42228874,0.284913171,10.01944652,0.620152127,21.80868314,0.026272367,0.92391158,0.430529722,15.14029522,0.156596956,8.99528802
SFM05,0.024381318,0.132655886,0.032798102,0.042553191,0.004154796,0,33.03710534,44.60009221,14.43614569,19.48879668,5.603113077,7.564202654,7.172961229,9.68349766,9.361322282,12.63778508,0.0710699,2.105445797,0.285620543,8.461508581,0.01099572,0.325748218,0.440576812,13.05208805,0.1892952,11.18932979
SFM06,0.005541971,0.012013158,0.042318172,0.02346194,0.249568179,0.045863782,13.92855789,26.46426,8.365616006,15.89467041,3.38736771,6.435998649,3.822376502,7.262515354,5.358821959,10.18176172,0.071192641,1.890560123,0.179475153,4.766062407,0.00813156,0.215938103,0.404898931,10.75231604,0.039398241,0
SFM07,0.047590759,0.191766924,0.019905022,0.038500039,0.115277108,0,19.84309937,23.45093562,12.11797551,14.32124379,7.620206322,9.005698381,7.360773211,8.699095613,7.560312244,8.93491447,0.113361724,2.277540097,0.237491317,4.771416458,0.005583339,0.112174358,0.338241198,6.795573165,0.100793939,2.02504186
SFT01,,,,,,,8.131431339,12.41113204,9.803025709,14.96251292,4.102900349,6.262321586,3.959367195,6.043244666,3.892636287,5.941392228,,,,,,,,,,
SFT02,0.024584273,0.138875245,0.008663723,,,,24.12237371,24.12237371,13.45048739,13.45048739,7.035692331,7.035692331,5.50199539,5.50199539,4.168178326,4.168178326,,,,,,,,,,
