siteid,project,date,rType,rep,sublocation,month,time_cst,sub_watershed,burn_area,stream_order,elevation,flow_state,conductivity,canopy_cover_percent,long,lat,stic_sublocation,stream_temp_C_1wk_avg,stream_temp_C_2wk_avg,stream_temp_C_3wk_avg,percent_wet_1wk_avg,percent_wet_2wk_avg,percent_wet_3wk_avg,twi,distance_from_outlet,drainage_area,wetted_width,slope_percent,weather,pH,crewBGC,crewMicro
04M11,AIMS,20210607,ENVD,1,SW,June,13:45,04M,N4D,2,404.717041,flowing,528.5,37.5,-96.583835,39.074718,HS,15.80325409,15.53535316,15.59864021,1,1,1,13.76612186,2.5,2.8759,0.57,3.458180553,"80s, sunny",8.25,"Eva Burke, Bri Richards","Charlie Bond, Harley-Payj Leatherman"
04M12,AIMS,20210607,ENVD,1,SW,June,14:22,04M,N4D,1,407.2463074,flowing,569.1,72.9,-96.584063,39.073158,HS,15.04872214,15.04682528,15.21936239,1,1,1,14.38844585,2.7,2.2526,2.7,1.45519363,"80s, hot as heck",8.21,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman"
04M13,AIMS,20210607,ENVD,1,SW,June,16:13,04M,N4D,1,407.2463074,dry,,50,-96.584299,39.070814,HS,20.93713224,19.98362082,20.19476903,0.185735513,0.189591078,0.290826285,14.38844585,2.93,2.2526,,1.45519363,"80s, sunny",,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman"
04T01,AIMS,20210604,ENVD,1,SW,June,9:36,04M,N4B,1,379.5954285,dry,,10.4,-96.584301,39.082362,HS,16.21178306,17.83773419,17.83773419,0.621099554,0.68694956,0.68694956,14.6586132,1.45,6.65,,3.276013653,80s,,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman"
04T02,AIMS,20210607,ENVD,1,SW,June,11:00,04M,N4B,1,387.0223694,flowing,546.1,1,-96.580834,39.079705,HS,16.33662478,16.26803092,16.36318086,1,1,1,13.50106335,1.8,3.6848,,5.763167458,80s,8.25,"Bri Richards, Eva Burke, Sam Thomas","Lydia Zeglin, Charlie Bond, Harley-Payj Leatherman"
04W01,AIMS,20210607,ENVD,1,SW,June,8:40,04W,N2B,1,360.5698242,dry,,64.6,-96.58543,39.08816,HS,19.60074294,18.54882528,18.55940143,0.684992571,0.842379182,0.862068966,14.72917557,0.6,7.6246,dry,3.499689997,"hot, sunny",,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus"
04W02,AIMS,20210607,ENVD,1,SW,June,9:44,04W,N2B,1,370.9928284,flowing,541.2,95.8,-96.58689,39.08609,HS,16.4933581,16.48085502,16.58824333,1,1,1,14.14491558,0.88,6.1046,1.1,5.019240788,"warm, sunny",8.08,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus"
04W03,AIMS,20210607,ENVD,1,SW,June,10:44,04W,N2B,1,382.2555237,flowing,555.9,34.4,-96.58803867,39.08385954,HS,17.07074294,16.9175539,16.97934938,1,1,1,13.66539764,1.2,4.2006,2,5.575492804,"suuny, warm",8.16,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus"
04W04,AIMS,20210607,ENVD,1,SW,June,12:00,04W,N2B,1,391.0866699,flowing,561.7,93.8,-96.58866,39.08223,HS,17.81424963,17.18182156,17.34407287,0.087667162,0.335315985,0.41834743,14.39993095,1.4,2.9436,0.5,1.879598913,"sunny, hot",8.02,"Sarah Flynn, Jess Wilhelm, Kaci Zarek","Ken Aho, Michael J Braus"
20M01,AIMS,20210605,ENVD,1,SW,June,15:41,20M,N20B,1,371.0545349,dry,,13.5,-96.57694,39.08838,HS,16.67286776,18.72119703,18.72119703,0.145616642,0.185873606,0.185873606,14.87513256,1.31,18.9453,,7.481488741,"90s, sunny",,"Eva Burke, Bri Richards","Eva Burke, Lydia Zeglin"
20M02,AIMS,20210605,ENVD,1,SW,June,16:27,20M,N20B,1,378.9335327,dry,,0,-96.5737,39.08921,HS,14.59120357,15.59831227,15.59831227,1,1,1,16.0319767,1.65,16.3166,,2.037042638,"90s, sunny",,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
20M03,AIMS,20210605,ENVD,1,SW,June,17:00,20M,N20B,1,385.9613342,dry,,35.4,-96.57178,39.08822,HS,14.70236324,17.07536758,17.07536758,1,0.884853853,0.884853853,15.66395473,1.91,9.0899,,1.639925733,"90s, sunny",,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
20M04,AIMS,20210606,ENVD,1,SW,June,9:25,20M,N20B,1,389.7962036,flowing,544.1,76,-96.57111,39.08709,HS,15.98811293,16.32228253,16.37583622,1,1,1,15.41920757,2.06,8.6075,,1.983258448,"70s, overcast",8.24,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
20M05,AIMS,20210606,ENVD,1,SW,June,10:53,20M,N20B,1,401.0048828,flowing,529.8,4.2,-96.568,39.086,HS,15.84432392,16.17125651,16.24164469,1,1,1,13.70702839,2.4,5.444,,6.919350964,"70s, overcast",8.13,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
SFM01,AIMS,20210604,ENVD,1,SW,June,10:54,SFM,N1A,3,350.8111572,flowing,561.1,78.1,-96.587193,39.092281,HS,14.95903418,15.77372298,15.77372298,1,1,1,18.44983101,0,132.6873,,1.476474482,"clear, sunny",8.01,"Erin Seybold, Jess Wilhelm, Connor Brown, Bri Richards, Sarah Flynn","Brett Nave, Lydia Zeglin, Charlie Bond, Ken Aho, Rob Ramos, Michael J Braus"
SFM02,AIMS,20210604,ENVD,1,SW,June,14:00,SFM,N4B,3,352.7506104,flowing,545.7,84.4,-96.58632,39.09126,HS,14.99649331,15.85152922,15.85152922,1,1,1,17.58334923,0.14,107.6787,,2.848214171,"sunny, clear, hot",8.1,"Erin Seybold, Jess Wilhelm, Connor Brown, Bri Richards, Sarah Flynn","Brett Nave, Lydia Zeglin, Charlie Bond, Ken Aho, Rob Ramos, Michael J Braus"
SFM03,AIMS,20210605,ENVD,1,SW,June,,SFM,N4B,3,353.4151611,flowing,574.9,63.5,-96.58578,39.09099,LS,15.15369985,15.878171,15.878171,1,1,1,18.85499001,0.18,67.0512,,0.497656872,"sunny, clear, hot",7.98,"Jess Wilhelm, Connor Brown, Bri Richards, Sarah Flynn",BLANK
SFM04,AIMS,20210605,ENVD,1,SW,June,,SFM,N4B,3,356.1382751,flowing,564.8,86.5,-96.5844,39.09089,HS,15.0961367,15.70999257,15.70999257,1,1,1,18.68798256,0.35,60.9054,,0.53420538,"sunny, clear, hot",8.06,BLANK,BLANK
SFM05,AIMS,20210605,ENVD,1,SW,June,10:57,SFM,N4B,3,361.0678101,flowing,559.5,80.2,-96.58186,39.09019,HS,15.2846211,15.92358364,15.92358364,1,1,1,16.93181992,0.66,58.6702,,2.977030614,"~70s, hot, sunny",8.02,"Bri Richards, Connor Brown","Lydia Zeglin, Michael J Braus, Ken Aho, Harley-Payj Leatherman"
SFM06,AIMS,20210605,ENVD,1,SW,June,12:16,SFM,N20B,3,365.2245483,flowing,549.4,85.4,-96.57941,39.0895,,,,,,,,16.90305519,0.91,51.0121,,2.664457202,"80s, sunny",8.06,"Connor Brown, Bri Richards, Rachel Wakefield, Eva Burke","Lydia Zeglin, Michael J Braus, Ken Aho, Harley-Payj Leatherman"
SFM07,AIMS,20210605,ENVD,1,SW,June,13:51,SFM,N20B,3,367.3485718,flowing,528.8,97.9,-96.578458,39.088683,HS,15.3920208,16.0369145,16.0369145,1,1,1,17.54718971,1.1,49.9061,,1.369543574,"90s, sunny",8.01,"Connor Brown, Bri Richards, Rachel Wakefield, Eva Burke","Lydia Zeglin, Michael J Braus, Ken Aho, Harley-Payj Leatherman"
SFT01,AIMS,20210606,ENVD,1,SW,June,14:58,SFM,N4B,1,356.8398438,flowing,589.7,2.1,-96.58517,39.09185,HS,15.79066865,16.04113011,16.11101319,1,1,1,13.78743362,0.3,4.5053,,5.294576991,"80s, sunny",8.02,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
SFT02,AIMS,20210606,ENVD,1,SW,June,13:12,SFM,N4B,1,372.4689026,flowing,536.1,4.2,-96.57852,39.09105,HS,16.26858841,16.67016357,16.7081263,1,0.983643123,0.984732824,14.25018978,1.01,4.8346,,3.58234839,"80s, partly cloudy",8.13,"Eva Burke, Bri Richards","Lydia Zeglin, Harley-Payj Leatherman"
